Glycerol Init,Time,DCW,Glycerol,PDO
50,0,0.060301507537688,48.4239274209863,0.861642364731331
50,1.99261992619926,0.251256281407032,40.4828745273183,3.67672460746021
50,3.98523985239853,0.758793969849252,30.0208524610573,9.3489052457945
50,5.97785977859779,1.25125628140704,18.2983458084997,15.189150495635
50,7.95571955719558,1.86432160804021,4.81084950436503,23.0458598527879
50,9.34317343173433,1.95979899497489,2.23510371765148,23.579309378939
60,0,0.100696991929568,57.3451166180758,1.22448979591837
60,2,0.26655355832722,50.7124635568513,3.36734693877552
60,4.01785714285714,0.670763022743947,40.6104227405248,7.75327988338193
60,6,1.06460931768159,30.3061224489796,12.9591836734694
60,8,1.65535583272194,14.5918367346939,20.8163265306123
60,10,2.06474688187821,3.9795918367347,26.0204081632653
60,11.5178571428571,2.24743213499633,1.07142857142858,26.5798104956268
70,0,0.057971014492754,72.2779071192256,1.49001347874035
70,1.99455090780045,0.212560386473431,63.9639750030633,4.08650900624926
70,3.99404721020217,0.685990338164252,55.9098149736552,9.02217865457665
70,6.01057764956384,1.05797101449275,48.116652371033,13.307192745987
70,8.01098976578062,1.57971014492754,34.21884572969,19.2807254012989
70,10.0301760652059,2.09178743961353,21.2277907119226,26.4244577870359
70,12.0284818096481,2.5024154589372,10.5771351550055,32.786423232447
70,13.2825972479795,2.65700483091787,4.55336355838747,35.2052444553364
80,0,0.07949305141638,80.9160305343512,1.52671755725191
80,2,0.213319948552246,74.6564885496184,3.66412213740456
80,4,0.569438780311823,67.175572519084,7.48091603053436
80,5.97530864197531,0.844684255105562,58.7786259541985,11.1450381679389
80,7.97530864197531,1.18053769175267,47.9389312977099,16.6412213740458
80,9.95061728395061,1.59218245129717,37.7099236641221,21.8320610687023
80,11.9506172839506,1.8977319070176,26.2595419847328,26.8702290076336
80,13.9259259259259,2.13762273739687,16.9465648854962,32.0610687022901
80,15.9506172839506,2.30178498604009,8.85496183206105,36.1832061068702
80,18.0246913580247,2.38501113655614,2.90076335877862,39.6946564885496
